"MATCH_ID","SEASON_ID","GROUP_ROUND_NO","MATCH_DATE","MATCH_TIME","MATCH_TIME_MELB","MATCH_TYPE","FINALS_DESC","HOME_SQUAD_ID","HOME_SQUAD","HOME_SCORE","HOME_SQUAD_TRAVEL","AWAY_SQUAD_ID","AWAY_SQUAD","AWAY_SCORE","AWAY_SQUAD_TRAVEL","VENUE_NAME","VENUE_STATE","VENUE_LOCATION","ATTENDANCE"
182691954,2018,1,"2018-03-22","19:25","19:25","Regular Season","",120,"Richmond",121,"L",30,"Carlton",95,"L","MCG","VIC","Melbourne",90151
182690355,2018,1,"2018-03-23","19:50","19:50","Regular Season","",50,"Essendon",99,"L",10,"Adelaide Crows",87,"I","Etihad Stadium","VIC","Melbourne",43016
182698624,2018,1,"2018-03-24","15:35","15:35","Regular Season","",130,"St Kilda",107,"L",20,"Brisbane Lions",82,"I","Etihad Stadium","VIC","Melbourne",23731
182701664,2018,1,"2018-03-24","16:05","16:35","Regular Season","",110,"Port Adelaide",110,"L",60,"Fremantle",60,"I","Adelaide Oval","SA","Adelaide",38324
182700256,2018,1,"2018-03-24","18:25","19:25","Regular Season","",1000,"Gold Coast Suns",55,"L",100,"North Melbourne",39,"I","Cazaly's Stadium","QLD","Cairns",
182698064,2018,1,"2018-03-24","19:25","19:25","Regular Season","",80,"Hawthorn",101,"L",40,"Collingwood",67,"L","MCG","VIC","Melbourne",58051
182698737,2018,1,"2018-03-25","13:10","13:10","Regular Season","",1010,"GWS Giants",133,"I",140,"Western Bulldogs",51,"I","UNSW Canberra Oval","ACT","Canberra",10454
182700625,2018,1,"2018-03-25","15:20","15:20","Regular Season","",90,"Melbourne",94,"L",70,"Geelong Cats",97,"L","MCG","VIC","Melbourne",54112
182699665,2018,1,"2018-03-25","16:20","19:20","Regular Season","",150,"West Coast Eagles",86,"L",160,"Sydney Swans",115,"I","Optus Stadium","WA","Perth",53553
182708737,2018,2,"2018-03-29","19:20","19:50","Regular Season","",10,"Adelaide Crows",118,"L",120,"Richmond",82,"I","Adelaide Oval","SA","Adelaide",49743
182707298,2018,2,"2018-03-30","16:20","16:20","Regular Season","",100,"North Melbourne",95,"L",130,"St Kilda",43,"L","Etihad Stadium","VIC","Melbourne",33966
182709779,2018,2,"2018-03-31","13:45","13:45","Regular Season","",30,"Carlton",67,"L",1000,"Gold Coast Suns",101,"I","Etihad Stadium","VIC","Melbourne",28025
182708259,2018,2,"2018-03-31","16:35","16:35","Regular Season","",40,"Collingwood",79,"L",1010,"GWS Giants",95,"I","MCG","VIC","Melbourne",30941
182709299,2018,2,"2018-03-31","17:10","20:10","Regular Season","",60,"Fremantle",106,"L",50,"Essendon",90,"I","Optus Stadium","WA","Perth",49021
182707219,2018,2,"2018-03-31","18:25","19:25","Regular Season","",20,"Brisbane Lions",74,"L",90,"Melbourne",100,"I","Gabba","QLD","Brisbane",17141
182717569,2018,2,"2018-04-01","15:20","15:20","Regular Season","",140,"Western Bulldogs",70,"L",150,"West Coast Eagles",121,"I","Etihad Stadium","VIC","Melbourne",22868
182714529,2018,2,"2018-04-01","16:40","16:40","Regular Season","",160,"Sydney Swans",71,"L",110,"Port Adelaide",94,"I","SCG","NSW","Sydney",34636
182715970,2018,2,"2018-04-02","15:20","15:20","Regular Season","",70,"Geelong Cats",117,"L",80,"Hawthorn",118,"L","MCG","VIC","Melbourne",73189
182726162,2018,3,"2018-04-06","19:50","19:50","Regular Season","",30,"Carlton",76,"L",40,"Collingwood",100,"L","MCG","VIC","Melbourne",68548
182726243,2018,3,"2018-04-07","13:15","13:45","Regular Season","",110,"Port Adelaide",97,"L",20,"Brisbane Lions",92,"I","Adelaide Oval","SA","Adelaide",36363
182725203,2018,3,"2018-04-07","14:10","14:10","Regular Season","",90,"Melbourne",123,"L",100,"North Melbourne",86,"L","MCG","VIC","Melbourne",35518
182724835,2018,3,"2018-04-07","14:35","16:35","Regular Season","",1000,"Gold Coast Suns",68,"I",60,"Fremantle",96,"L","Optus Stadium","WA","Perth",33388
182722723,2018,3,"2018-04-07","19:25","19:25","Regular Season","",160,"Sydney Swans",103,"L",1010,"GWS Giants",87,"L","SCG","NSW","Sydney",34711
182723203,2018,3,"2018-04-07","19:25","19:25","Regular Season","",130,"St Kilda",55,"L",10,"Adelaide Crows",104,"I","Etihad Stadium","VIC","Melbourne",19324
182732912,2018,3,"2018-04-08","13:10","13:10","Regular Season","",120,"Richmond",102,"L",80,"Hawthorn",89,"L","MCG","VIC","Melbourne",70701
182732432,2018,3,"2018-04-08","14:40","16:40","Regular Season","",150,"West Coast Eagles",95,"L",70,"Geelong Cats",80,"I","Optus Stadium","WA","Perth",54535
182733952,2018,3,"2018-04-08","15:20","15:20","Regular Season","",140,"Western Bulldogs",104,"L",50,"Essendon",83,"L","Etihad Stadium","VIC","Melbourne",40499
182741505,2018,4,"2018-04-13","19:20","19:50","Regular Season","",10,"Adelaide Crows",58,"L",40,"Collingwood",106,"I","Adelaide Oval","SA","Adelaide",45495
182739698,2018,4,"2018-04-14","13:45","13:45","Regular Season","",1010,"GWS Giants",82,"I",60,"Fremantle",51,"I","UNSW Canberra Oval","ACT","Canberra",11356
182741106,2018,4,"2018-04-14","14:10","14:10","Regular Season","",120,"Richmond",110,"L",20,"Brisbane Lions",17,"I","MCG","VIC","Melbourne",32870
182742146,2018,4,"2018-04-14","16:35","16:35","Regular Season","",140,"Western Bulldogs",79,"L",160,"Sydney Swans",86,"I","Etihad Stadium","VIC","Melbourne",28058
182740626,2018,4,"2018-04-14","18:10","20:10","Regular Season","",150,"West Coast Eagles",139,"L",1000,"Gold Coast Suns",59,"I","Optus Stadium","WA","Perth",51774
182740066,2018,4,"2018-04-14","19:25","19:25","Regular Season","",100,"North Melbourne",116,"I",30,"Carlton",30,"I","Blundstone Arena","TAS","Hobart",14266
182739507,2018,4,"2018-04-15","13:10","13:10","Regular Season","",50,"Essendon",106,"L",110,"Port Adelaide",84,"I","Etihad Stadium","VIC","Melbourne",30900
182739027,2018,4,"2018-04-15","15:20","15:20","Regular Season","",80,"Hawthorn",115,"L",90,"Melbourne",48,"L","MCG","VIC","Melbourne",41973
182740547,2018,4,"2018-04-15","16:40","16:40","Regular Season","",70,"Geelong Cats",103,"L",130,"St Kilda",56,"L","GMHBA Stadium","VIC","Geelong",27338
182755488,2018,5,"2018-04-20","19:50","19:50","Regular Season","",160,"Sydney Swans",75,"L",10,"Adelaide Crows",85,"I","SCG","NSW","Sydney",
182755969,2018,5,"2018-04-21","13:45","13:45","Regular Season","",130,"St Kilda",73,"L",1010,"GWS Giants",73,"I","Etihad Stadium","VIC","Melbourne",14956
182758929,2018,5,"2018-04-21","16:35","16:35","Regular Season","",30,"Carlton",69,"L",150,"West Coast Eagles",79,"I","MCG","VIC","Melbourne",27900
182758449,2018,5,"2018-04-21","18:15","20:15","Regular Season","",60,"Fremantle",108,"L",140,"Western Bulldogs",54,"I","Optus Stadium","WA","Perth",43056
182759009,2018,5,"2018-04-21","19:10","19:40","Regular Season","",110,"Port Adelaide",50,"L",70,"Geelong Cats",84,"I","Adelaide Oval","SA","Adelaide",45372
182756450,2018,5,"2018-04-22","15:20","15:20","Regular Season","",100,"North Melbourne",98,"L",80,"Hawthorn",70,"L","Etihad Stadium","VIC","Melbourne",27981
182756370,2018,5,"2018-04-22","16:45","16:45","Regular Season","",20,"Brisbane Lions",71,"L",1000,"Gold Coast Suns",76,"L","Gabba","QLD","Brisbane",16087
182766160,2018,5,"2018-04-24","19:25","19:25","Regular Season","",90,"Melbourne",56,"L",120,"Richmond",102,"L","MCG","VIC","Melbourne",77071
182765601,2018,5,"2018-04-25","15:20","15:20","Regular Season","",40,"Collingwood",101,"L",50,"Essendon",52,"L","MCG","VIC","Melbourne",91440
182766723,2018,6,"2018-04-27","19:50","19:50","Regular Season","",140,"Western Bulldogs",80,"L",30,"Carlton",59,"L","Etihad Stadium","VIC","Melbourne",33915
182773312,2018,6,"2018-04-28","13:45","13:45","Regular Season","",70,"Geelong Cats",69,"L",160,"Sydney Swans",86,"I","GMHBA Stadium","VIC","Geelong",31036
182772832,2018,6,"2018-04-28","14:10","14:10","Regular Season","",100,"North Melbourne",69,"L",110,"Port Adelaide",102,"I","Etihad Stadium","VIC","Melbourne",17617
182772464,2018,6,"2018-04-28","16:35","16:35","Regular Season","",1010,"GWS Giants",77,"L",20,"Brisbane Lions",43,"I","Spotless Stadium","NSW","Sydney",
182774272,2018,6,"2018-04-28","19:10","19:40","Regular Season","",10,"Adelaide Crows",110,"L",1000,"Gold Coast Suns",62,"I","Adelaide Oval","SA","Adelaide",44835
182771792,2018,6,"2018-04-28","19:25","19:25","Regular Season","",80,"Hawthorn",89,"I",130,"St Kilda",54,"I","University of Tasmania Stadium","TAS","Launceston",15741
182772273,2018,6,"2018-04-29","13:10","13:10","Regular Season","",50,"Essendon",72,"L",90,"Melbourne",108,"L","Etihad Stadium","VIC","Melbourne",35964
182774833,2018,6,"2018-04-29","14:40","16:40","Regular Season","",60,"Fremantle",81,"L",150,"West Coast Eagles",89,"L","Optus Stadium","WA","Perth",56521
182773793,2018,6,"2018-04-29","15:20","15:20","Regular Season","",40,"Collingwood",70,"L",120,"Richmond",113,"L","MCG","VIC","Melbourne",72157
182789696,2018,7,"2018-05-04","19:50","19:50","Regular Season","",70,"Geelong Cats",93,"L",1010,"GWS Giants",32,"I","GMHBA Stadium","VIC","Geelong",
182791297,2018,7,"2018-05-05","13:45","13:45","Regular Season","",140,"Western Bulldogs",81,"L",1000,"Gold Coast Suns",72,"I","Mars Stadium","VIC","Ballarat",6833
182788657,2018,7,"2018-05-05","14:10","14:10","Regular Season","",50,"Essendon",67,"L",80,"Hawthorn",90,"L","MCG","VIC","Melbourne",53018
182789777,2018,7,"2018-05-05","14:35","16:35","Regular Season","",150,"West Coast Eagles",102,"L",110,"Port Adelaide",60,"I","Optus Stadium","WA","Perth",50516
182790657,2018,7,"2018-05-05","19:10","19:40","Regular Season","",10,"Adelaide Crows",125,"L",30,"Carlton",70,"I","Adelaide Oval","SA","Adelaide",47422
182788257,2018,7,"2018-05-05","19:25","19:25","Regular Season","",160,"Sydney Swans",66,"L",100,"North Melbourne",68,"I","SCG","NSW","Sydney",29124
182790258,2018,7,"2018-05-06","13:10","13:10","Regular Season","",120,"Richmond",110,"L",60,"Fremantle",33,"I","MCG","VIC","Melbourne",43240
182788738,2018,7,"2018-05-06","15:20","15:20","Regular Season","",130,"St Kilda",67,"L",90,"Melbourne",106,"L","Etihad Stadium","VIC","Melbourne",25496
182789138,2018,7,"2018-05-06","16:40","16:40","Regular Season","",20,"Brisbane Lions",114,"L",40,"Collingwood",121,"I","Gabba","QLD","Brisbane",21850
182796371,2018,8,"2018-05-11","19:50","19:50","Regular Season","",80,"Hawthorn",71,"L",160,"Sydney Swans",79,"I","MCG","VIC","Melbourne",32784
182805232,2018,8,"2018-05-12","13:45","13:45","Regular Season","",1010,"GWS Giants",61,"L",150,"West Coast Eagles",86,"I","Spotless Stadium","NSW","Sydney",9253
182808080,2018,8,"2018-05-12","14:10","14:10","Regular Season","",30,"Carlton",91,"L",50,"Essendon",78,"L","MCG","VIC","Melbourne",44669
182806752,2018,8,"2018-05-12","16:35","16:35","Regular Season","",1000,"Gold Coast Suns",77,"L",90,"Melbourne",146,"I","Gabba","QLD","Brisbane",6060
182808160,2018,8,"2018-05-12","16:40","17:10","Regular Season","",110,"Port Adelaide",95,"L",10,"Adelaide Crows",90,"L","Adelaide Oval","SA","Adelaide",50967
182807600,2018,8,"2018-05-12","18:10","20:10","Regular Season","",60,"Fremantle",89,"L",130,"St Kilda",59,"I","Optus Stadium","WA","Perth",41752
182807680,2018,8,"2018-05-12","19:25","19:25","Regular Season","",140,"Western Bulldogs",107,"L",20,"Brisbane Lions",93,"I","Etihad Stadium","VIC","Melbourne",20865
182805601,2018,8,"2018-05-13","13:10","13:10","Regular Season","",100,"North Melbourne",72,"L",120,"Richmond",82,"L","Etihad Stadium","VIC","Melbourne",29153
182806561,2018,8,"2018-05-13","15:20","15:20","Regular Season","",40,"Collingwood",45,"L",70,"Geelong Cats",66,"L","MCG","VIC","Melbourne",44602
182815234,2018,9,"2018-05-18","19:20","19:50","Regular Season","",10,"Adelaide Crows",63,"L",140,"Western Bulldogs",26,"I","Adelaide Oval","SA","Adelaide",39407
182814947,2018,9,"2018-05-19","13:15","15:15","Regular Season","",1000,"Gold Coast Suns",42,"I",110,"Port Adelaide",82,"I","Adelaide Arena at Jiangwan Stadium","","Shanghai",
182813795,2018,9,"2018-05-19","13:45","13:45","Regular Season","",100,"North Melbourne",112,"I",1010,"GWS Giants",69,"I","Blundstone Arena","TAS","Hobart",7194
182813235,2018,9,"2018-05-19","16:35","16:35","Regular Season","",50,"Essendon",84,"L",70,"Geelong Cats",50,"L","MCG","VIC","Melbourne",50228
182813315,2018,9,"2018-05-19","19:25","19:25","Regular Season","",130,"St Kilda",72,"L",40,"Collingwood",100,"L","Etihad Stadium","VIC","Melbourne",33994
182812835,2018,9,"2018-05-19","19:25","19:25","Regular Season","",160,"Sydney Swans",111,"L",60,"Fremantle",52,"I","SCG","NSW","Sydney",27481
182824464,2018,9,"2018-05-20","13:10","13:10","Regular Season","",30,"Carlton",50,"L",90,"Melbourne",159,"L","MCG","VIC","Melbourne",44122
182822544,2018,9,"2018-05-20","14:40","16:40","Regular Season","",150,"West Coast Eagles",130,"L",120,"Richmond",83,"I","Optus Stadium","WA","Perth",57616
182821904,2018,9,"2018-05-20","15:20","15:20","Regular Season","",20,"Brisbane Lions",129,"L",80,"Hawthorn",73,"I","Gabba","QLD","Brisbane",20628
182831137,2018,10,"2018-05-25","19:50","19:50","Regular Season","",40,"Collingwood",90,"L",140,"Western Bulldogs",55,"L","Etihad Stadium","VIC","Melbourne",37985
182831218,2018,10,"2018-05-26","13:45","13:45","Regular Season","",120,"Richmond",105,"L",130,"St Kilda",77,"L","MCG","VIC","Melbourne",48850
182830098,2018,10,"2018-05-26","16:35","16:35","Regular Season","",20,"Brisbane Lions",49,"L",160,"Sydney Swans",67,"I","Gabba","QLD","Brisbane",18702
182829810,2018,10,"2018-05-26","19:25","19:25","Regular Season","",1010,"GWS Giants",60,"L",50,"Essendon",95,"I","Spotless Stadium","NSW","Sydney",
182830658,2018,10,"2018-05-26","19:25","19:25","Regular Season","",70,"Geelong Cats",73,"L",30,"Carlton",45,"L","GMHBA Stadium","VIC","Geelong",31090
182829139,2018,10,"2018-05-27","13:10","13:10","Regular Season","",80,"Hawthorn",60,"L",150,"West Coast Eagles",75,"I","Etihad Stadium","VIC","Melbourne",28077
182832179,2018,10,"2018-05-27","14:40","16:40","Regular Season","",60,"Fremantle",58,"L",100,"North Melbourne",86,"I","Optus Stadium","WA","Perth",37575
182831699,2018,10,"2018-05-27","14:50","15:20","Regular Season","",90,"Melbourne",146,"I",10,"Adelaide Crows",55,"I","TIO Traeger Park","NT","Alice Springs",6989
182845601,2018,11,"2018-06-01","19:50","19:50","Regular Season","",160,"Sydney Swans",91,"L",30,"Carlton",61,"I","SCG","NSW","Sydney",27011
182848642,2018,11,"2018-06-02","13:45","13:45","Regular Season","",140,"Western Bulldogs",51,"L",90,"Melbourne",100,"L","Etihad Stadium","VIC","Melbourne",28485
182845522,2018,11,"2018-06-02","14:10","14:10","Regular Season","",80,"Hawthorn",64,"I",110,"Port Adelaide",61,"I","University of Tasmania Stadium","TAS","Launceston",13007
182847714,2018,11,"2018-06-02","16:35","16:35","Regular Season","",1000,"Gold Coast Suns",36,"L",70,"Geelong Cats",121,"I","Metricon Stadium","QLD","Gold Coast",17490
182847122,2018,11,"2018-06-02","18:10","20:10","Regular Season","",150,"West Coast Eagles",101,"L",130,"St Kilda",88,"I","Optus Stadium","WA","Perth",54188
182846002,2018,11,"2018-06-02","19:25","19:25","Regular Season","",50,"Essendon",43,"L",120,"Richmond",114,"L","MCG","VIC","Melbourne",81046
182846563,2018,11,"2018-06-03","13:10","13:10","Regular Season","",100,"North Melbourne",141,"L",20,"Brisbane Lions",87,"I","Etihad Stadium","VIC","Melbourne",22133
182847523,2018,11,"2018-06-03","15:20","15:20","Regular Season","",40,"Collingwood",138,"L",60,"Fremantle",77,"I","MCG","VIC","Melbourne",34542
182848003,2018,11,"2018-06-03","16:10","16:40","Regular Season","",10,"Adelaide Crows",81,"L",1010,"GWS Giants",97,"I","Adelaide Oval","SA","Adelaide",44120
182865504,2018,12,"2018-06-08","19:20","19:50","Regular Season","",110,"Port Adelaide",72,"L",120,"Richmond",58,"I","Adelaide Oval","SA","Adelaide",39936
182863425,2018,12,"2018-06-09","13:45","13:45","Regular Season","",70,"Geelong Cats",96,"L",100,"North Melbourne",59,"L","GMHBA Stadium","VIC","Geelong",31265
182862577,2018,12,"2018-06-09","16:35","16:35","Regular Season","",1010,"GWS Giants",134,"L",1000,"Gold Coast Suns",26,"I","Spotless Stadium","NSW","Sydney",7131
182862465,2018,12,"2018-06-09","19:25","19:25","Regular Season","",130,"St Kilda",55,"L",160,"Sydney Swans",126,"I","Etihad Stadium","VIC","Melbourne",27569
182862866,2018,12,"2018-06-10","13:10","13:10","Regular Season","",20,"Brisbane Lions",62,"L",50,"Essendon",84,"I","Gabba","QLD","Brisbane",20476
